City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,cabo san lucas,22.8909,-109.9124,74.52,73,52,3.47,MX,1668580739
231,samarai,-10.6167,150.6667,85.46,74,97,14.12,PG,1668580973
232,sembakung,3.8167,117.25,89.08,60,90,4.54,ID,1668580973
233,namatanai,-3.6667,152.4333,82.69,69,100,7.54,PG,1668580973
234,matara,5.9485,80.5353,84.22,64,100,6.17,LK,1668580974
235,killybegs,54.6333,-8.45,41.49,92,36,6.51,IE,1668580974
236,huarmey,-10.0681,-78.1522,63.46,87,56,7.58,PE,1668580975
237,walvis bay,-22.9575,14.5053,58.08,62,0,10.51,NA,1668580856
238,yangliuqing,39.1375,116.9997,60.75,28,30,7.63,CN,1668580975
239,maxixe,-23.8597,35.3472,78.62,61,20,6.91,MZ,1668580976
240,kodiak,57.79,-152.4072,44.11,93,100,9.22,US,1668580976
241,svetlyy,54.675,20.1347,37.45,78,82,16.2,RU,1668580977
242,melioratorov,57.2107,65.6077,1.63,78,100,15.66,RU,1668580977
243,nakamura,32.9833,132.9333,59.23,55,2,6.13,JP,1668580977
244,jiexiu,37.0244,111.9125,56.93,23,1,6.24,CN,1668580978
245,harer,9.3094,42.1258,68.88,26,0,1.74,ET,1668580978
246,geraldton,-28.7667,114.6,73.81,60,75,23.02,AU,1668580979
247,otukpo,7.1913,8.1329,75.76,62,92,2.28,NG,1668580979
248,lebu,-37.6167,-73.65,52.65,93,100,5.26,CL,1668580979
249,ponnani,10.767,75.9252,85.32,67,33,1.54,IN,1668580980
250,bouar,5.934,15.596,75.15,45,64,4.54,CF,1668580980
251,jadu,31.953,12.0261,58.64,28,0,13.31,LY,1668580981
252,anadyr,64.75,177.4833,37.9,86,40,38.03,RU,1668580981
253,deputatskiy,69.3,139.9,-29.52,99,82,3.24,RU,1668580981
254,malinovoye ozero,51.6753,79.7825,35.87,57,68,16.62,RU,1668580982
255,port augusta,-32.5,137.7667,66.06,40,0,15.43,AU,1668580982
256,senno,59.5336,33.9167,25.27,96,59,3.04,RU,1668580983
257,nouadhibou,20.931,-17.0347,73.31,57,0,12.71,MR,1668580983
258,port blair,11.6667,92.75,84.24,79,40,4.61,IN,1668580983
259,ancud,-41.8697,-73.8203,52.12,97,81,3.94,CL,1668580984
260,berdigestyakh,62.0989,126.6992,-27.27,100,23,3.53,RU,1668580985
261,burnie,-41.0667,145.9167,58.95,43,63,11.39,AU,1668580823
262,darovskoy,58.77,47.9564,15.28,77,51,3.2,RU,1668580985
263,wanaka,-44.7,169.15,58.59,87,100,2.33,NZ,1668580986
264,sorland,67.667,12.6934,44.46,54,15,10.67,NO,1668580986
265,prince rupert,54.3161,-130.3201,42.49,92,0,4.61,CA,1668580777
266,kurilsk,45.2333,147.8833,40.24,82,100,10.07,RU,1668580986
267,gari,59.4307,62.3497,5.4,82,100,6.96,RU,1668580987
268,longyearbyen,78.2186,15.6401,39.04,75,75,4.61,SJ,1668580863
269,pochutla,15.7432,-96.4661,72.82,63,100,3.98,MX,1668580988
270,dubbo,-32.25,148.6167,62.73,31,75,16.11,AU,1668580988
271,lubbock,33.6001,-101.8338,36.14,61,0,4.61,US,1668580916
272,bull savanna,17.8868,-77.5902,73.76,84,8,4.05,JM,1668580989
273,mayo,38.8876,-76.5119,43.97,95,100,4.0,US,1668580989
274,sidhauli,27.2833,80.8333,80.83,35,0,6.26,IN,1668580989
275,mandalay,21.9747,96.0836,86.07,41,0,6.55,MM,1668580990
276,kidal,18.4411,1.4078,70.11,19,100,8.81,ML,1668580990
277,sovetskiy,61.3614,63.5842,-0.33,74,62,4.88,RU,1668580991
278,malko tarnovo,41.9833,27.5333,47.89,75,100,6.22,BG,1668580991
279,muravlenko,63.7898,74.523,-9.8,87,14,7.74,RU,1668580991
280,crossville,35.949,-85.0269,38.5,94,100,8.05,US,1668580992
281,bograd,54.2344,90.8328,37.38,50,100,16.49,RU,1668580992
282,vao,-22.6667,167.4833,74.71,81,100,10.04,NC,1668580993
283,talnakh,69.4865,88.3972,-18.78,100,84,5.28,RU,1668580993
284,alihe,50.5667,123.7167,24.62,66,26,0.87,CN,1668580993
285,mumford,5.2618,-0.759,77.72,85,33,6.02,GH,1668580994
286,nouakchott,18.0858,-15.9785,75.13,49,0,9.55,MR,1668580928
287,saskylakh,71.9167,114.0833,-27.13,97,65,6.15,RU,1668580994
288,lompoc,34.6391,-120.4579,54.93,88,0,8.05,US,1668580995
289,chuy,-33.6971,-53.4616,54.73,60,0,6.22,UY,1668580995
290,ginda,30.6945,78.4932,61.34,38,4,6.6,IN,1668580996
291,qasigiannguit,68.8193,-51.1922,23.25,95,100,3.33,GL,1668580996
292,dhing,26.4667,92.4667,78.15,54,0,3.76,IN,1668580996
293,churapcha,62.0025,132.4325,-34.67,99,26,3.4,RU,1668580997
294,leninskoye,41.7589,69.3864,38.41,93,100,8.72,KZ,1668580997
295,mut,36.6439,33.4389,60.75,58,2,2.15,TR,1668580998
296,vaini,-21.2,-175.2,77.09,76,5,6.62,TO,1668580998
297,sarankhola,22.3082,89.7897,83.52,46,0,7.23,BD,1668580999
298,chhuikhadan,21.5333,80.9833,81.72,28,0,5.86,IN,1668580999
299,carmen,18.6333,-91.8333,80.38,73,58,13.31,MX,1668580999
300,bilma,18.6853,12.9164,65.79,25,10,6.85,NE,1668581000
301,ust-tsilma,65.441,52.1498,14.58,92,100,7.34,RU,1668581000
302,sedkyrkeshch,61.75,50.9167,-1.93,92,100,4.47,RU,1668581001
303,seydisehir,37.4193,31.8453,49.84,46,0,2.24,TR,1668581001
304,fort nelson,58.8053,-122.7002,27.99,60,100,9.22,CA,1668581002
305,boyolangu,-8.1181,111.8935,79.61,86,100,2.1,ID,1668581002
306,askiz,53.1319,90.5264,40.33,54,57,13.22,RU,1668581002
307,tagusao,9.1924,117.8141,84.92,72,89,3.67,PH,1668581003
308,sirawai,7.5854,122.1407,84.79,75,100,1.59,PH,1668581003
309,san juan,-31.5375,-68.5364,78.17,31,5,9.78,AR,1668580914
310,tiarei,-17.5333,-149.3333,75.22,78,100,5.57,PF,1668581004
311,kapit,2.0167,112.9333,80.62,84,100,2.73,MY,1668581004
312,morgan city,29.6994,-91.2068,46.4,71,100,14.97,US,1668581005
313,capitao poco,-1.7464,-47.0594,70.2,96,100,3.98,BR,1668581005
314,vilyuysk,63.7553,121.6247,-13.14,93,98,8.63,RU,1668581006
315,urubicha,-15.3833,-62.95,72.59,74,100,2.82,BO,1668581006
316,reconquista,-29.15,-59.65,64.51,39,80,4.14,AR,1668581006
317,bima,-8.4667,118.7167,85.75,71,100,3.2,ID,1668581007
318,cayenne,4.9333,-52.3333,73.44,94,0,2.3,GF,1668581007
319,pandaria,22.2333,81.4167,83.26,27,0,4.38,IN,1668581008
320,ahipara,-35.1667,173.1667,64.11,92,100,2.71,NZ,1668581008
321,manono,-7.3,27.4167,75.25,83,97,1.86,CD,1668581008
322,cherskiy,68.75,161.3,-2.06,89,100,14.47,RU,1668581009
323,bara,10.3744,10.7288,65.98,27,95,10.07,NG,1668581009
324,golden,39.7555,-105.2211,27.5,47,7,4.0,US,1668580767
325,teruel,40.6667,-0.6667,45.3,84,94,12.57,ES,1668581010
326,bathsheba,13.2167,-59.5167,81.21,78,20,14.97,BB,1668581010
327,kushima,31.4583,131.2333,66.83,42,16,1.63,JP,1668581010
328,eyl,7.9803,49.8164,85.44,54,2,14.54,SO,1668581011
329,thompson,55.7435,-97.8558,12.36,85,100,2.3,CA,1668581011
330,terrassa,41.5667,2.0167,61.47,76,20,3.44,ES,1668581012
331,krasnoselkup,65.7,82.4667,-12.03,96,14,9.22,RU,1668581012
332,saint george,37.1041,-113.5841,43.39,44,0,24.16,US,1668580750
333,cidreira,-30.1811,-50.2056,62.26,75,0,7.85,BR,1668581013
334,noyabrsk,63.1994,75.4507,-9.08,86,10,9.82,RU,1668581013
335,ossora,59.2353,163.0719,19.89,79,99,5.37,RU,1668581013
336,bilibino,68.0546,166.4372,-1.71,97,100,9.37,RU,1668581014
337,sorong,-0.8833,131.25,82.87,79,100,9.48,ID,1668581014
338,kavaratti,10.5669,72.642,81.68,70,34,1.39,IN,1668581015
339,arica,-18.475,-70.3042,66.43,68,100,5.75,CL,1668580772
340,keti bandar,24.1447,67.4497,84.31,33,0,4.72,PK,1668581016
341,coos bay,43.3665,-124.2179,46.38,80,0,3.44,US,1668581016
342,anchorage,61.2181,-149.9003,29.91,88,0,4.0,US,1668581016
343,dharchula,29.85,80.5333,68.54,32,0,6.64,IN,1668581017
344,thinadhoo,0.5333,72.9333,81.57,73,100,12.3,MV,1668581017
345,los llanos de aridane,28.6585,-17.9182,69.12,24,0,9.22,ES,1668581017
346,otane,-39.8833,176.6333,67.01,96,79,2.57,NZ,1668581018
347,diamantino,-14.4086,-56.4461,70.63,85,1,3.29,BR,1668581018
348,zhezkazgan,47.8043,67.7144,22.98,74,75,26.84,KZ,1668581019
349,ratholo,-22.7245,27.572,79.79,36,0,8.93,BW,1668581019
350,yar-sale,66.8333,70.8333,-4.27,82,93,7.81,RU,1668581019
351,isangel,-19.55,169.2667,86.11,74,20,0.0,VU,1668581020
352,guerrero negro,27.9769,-114.0611,61.81,63,14,0.49,MX,1668581020
353,hongjiang,27.11,109.9956,60.04,82,100,3.09,CN,1668581021
354,ilulissat,69.2167,-51.1,23.02,86,100,0.0,GL,1668581021
355,kontagora,10.3999,5.4695,72.82,31,89,6.58,NG,1668581021
356,rasht,37.2808,49.5832,60.62,82,20,0.0,IR,1668581022
357,flinders,-34.5833,150.8552,62.19,60,50,8.01,AU,1668581022
358,mantua,45.1667,10.7833,50.95,92,100,1.99,IT,1668580854
359,selikhino,50.3672,137.4996,22.75,89,100,3.69,RU,1668581023
360,ayan,56.45,138.1667,9.09,60,0,11.95,RU,1668581023
361,leningradskiy,69.3833,178.4167,14.41,94,100,5.19,RU,1668581024
362,beloha,-25.1667,45.05,84.31,50,45,7.14,MG,1668581024
363,plougastel-daoulas,48.3667,-4.3667,53.62,79,75,17.27,FR,1668581024
364,halifax,44.6453,-63.5724,35.6,80,100,5.75,CA,1668581025
365,goundi,9.3627,17.366,81.34,30,10,6.31,TD,1668581025
366,itacarambi,-15.1022,-44.0919,69.76,97,100,2.55,BR,1668581026
